,Film,Year,IMDB,Metascore,IMDB votes
0,Гладиатор,2000,8.5,67,1261479
1,Помни,2000,8.4,80,1062831
2,Реквием по мечте,2000,8.3,68,724096
3,Люди Икс,2000,7.4,64,550049
4,Изгой,2000,7.8,73,489753
5,Американский психопат,2000,7.6,64,451650
6,Неуязвимый,2000,7.3,62,369165
7,Знакомство с родителями,2000,7.0,73,299094
8,О где же ты брат?,2000,7.7,69,271576
9,"Крадущийся тигр, затаившийся дракон",2000,7.8,94,244611
10,Патриот,2000,7.2,63,243724
11,Почти знаменит,2000,7.9,90,240628
12,Сука любовь,2000,8.1,83,212393
13,Траффик,2000,7.6,86,189328
14,Шоколад,2000,7.2,64,171673
15,Побег из курятника,2000,7.0,88,168983
16,Похождения императора,2000,7.3,70,168010
17,Эрин Брокович,2000,7.3,73,164278
18,Королевская битва,2000,7.6,81,162443
19,Фанатик,2000,7.5,79,161395
20,Билли Эллиот,2000,7.7,74,119733
21,Шанхайский полдень,2000,6.5,77,114708
22,Любовное настроение,2000,8.1,85,111632
23,Радиоволна,2000,7.3,67,96891
24,Гладиатор,2000,8.5,67,1261479
25,Помни,2000,8.4,80,1062831
26,Реквием по мечте,2000,8.3,68,724096
27,Люди Икс,2000,7.4,64,550049
28,Изгой,2000,7.8,73,489753
29,Американский психопат,2000,7.6,64,451650
30,Неуязвимый,2000,7.3,62,369165
31,Знакомство с родителями,2000,7.0,73,299094
32,О где же ты брат?,2000,7.7,69,271576
33,"Крадущийся тигр, затаившийся дракон",2000,7.8,94,244611
34,Патриот,2000,7.2,63,243724
35,Почти знаменит,2000,7.9,90,240628
36,Сука любовь,2000,8.1,83,212393
37,Траффик,2000,7.6,86,189328
38,Шоколад,2000,7.2,64,171673
39,Побег из курятника,2000,7.0,88,168983
40,Похождения императора,2000,7.3,70,168010
41,Эрин Брокович,2000,7.3,73,164278
42,Королевская битва,2000,7.6,81,162443
43,Фанатик,2000,7.5,79,161395
44,Билли Эллиот,2000,7.7,74,119733
45,Шанхайский полдень,2000,6.5,77,114708
46,Любовное настроение,2000,8.1,85,111632
47,Радиоволна,2000,7.3,67,96891
48,Гладиатор,2000,8.5,67,1261479
49,Помни,2000,8.4,80,1062831
50,Реквием по мечте,2000,8.3,68,724096
51,Люди Икс,2000,7.4,64,550049
52,Изгой,2000,7.8,73,489753
53,Американский психопат,2000,7.6,64,451650
54,Неуязвимый,2000,7.3,62,369165
55,Знакомство с родителями,2000,7.0,73,299094
56,О где же ты брат?,2000,7.7,69,271576
57,"Крадущийся тигр, затаившийся дракон",2000,7.8,94,244611
58,Патриот,2000,7.2,63,243724
59,Почти знаменит,2000,7.9,90,240628
60,Сука любовь,2000,8.1,83,212393
61,Траффик,2000,7.6,86,189328
62,Шоколад,2000,7.2,64,171673
63,Побег из курятника,2000,7.0,88,168983
64,Похождения императора,2000,7.3,70,168010
65,Эрин Брокович,2000,7.3,73,164278
66,Королевская битва,2000,7.6,81,162443
67,Фанатик,2000,7.5,79,161395
68,Билли Эллиот,2000,7.7,74,119733
69,Шанхайский полдень,2000,6.5,77,114708
70,Любовное настроение,2000,8.1,85,111632
71,Радиоволна,2000,7.3,67,96891
72,Гладиатор,2000,8.5,67,1261479
73,Помни,2000,8.4,80,1062831
74,Реквием по мечте,2000,8.3,68,724096
75,Люди Икс,2000,7.4,64,550049
76,Изгой,2000,7.8,73,489753
77,Американский психопат,2000,7.6,64,451650
78,Неуязвимый,2000,7.3,62,369165
79,Знакомство с родителями,2000,7.0,73,299094
80,О где же ты брат?,2000,7.7,69,271576
81,"Крадущийся тигр, затаившийся дракон",2000,7.8,94,244611
82,Патриот,2000,7.2,63,243724
83,Почти знаменит,2000,7.9,90,240628
84,Сука любовь,2000,8.1,83,212393
85,Траффик,2000,7.6,86,189328
86,Шоколад,2000,7.2,64,171673
87,Побег из курятника,2000,7.0,88,168983
88,Похождения императора,2000,7.3,70,168010
89,Эрин Брокович,2000,7.3,73,164278
90,Королевская битва,2000,7.6,81,162443
91,Фанатик,2000,7.5,79,161395
92,Билли Эллиот,2000,7.7,74,119733
93,Шанхайский полдень,2000,6.5,77,114708
94,Любовное настроение,2000,8.1,85,111632
95,Радиоволна,2000,7.3,67,96891
96,Гладиатор,2000,8.5,67,1261479
97,Помни,2000,8.4,80,1062831
98,Реквием по мечте,2000,8.3,68,724096
99,Люди Икс,2000,7.4,64,550049
100,Изгой,2000,7.8,73,489753
101,Американский психопат,2000,7.6,64,451650
102,Неуязвимый,2000,7.3,62,369165
103,Знакомство с родителями,2000,7.0,73,299094
104,О где же ты брат?,2000,7.7,69,271576
105,"Крадущийся тигр, затаившийся дракон",2000,7.8,94,244611
106,Патриот,2000,7.2,63,243724
107,Почти знаменит,2000,7.9,90,240628
108,Сука любовь,2000,8.1,83,212393
109,Траффик,2000,7.6,86,189328
110,Шоколад,2000,7.2,64,171673
111,Побег из курятника,2000,7.0,88,168983
112,Похождения императора,2000,7.3,70,168010
113,Эрин Брокович,2000,7.3,73,164278
114,Королевская битва,2000,7.6,81,162443
115,Фанатик,2000,7.5,79,161395
116,Билли Эллиот,2000,7.7,74,119733
117,Шанхайский полдень,2000,6.5,77,114708
118,Любовное настроение,2000,8.1,85,111632
119,Радиоволна,2000,7.3,67,96891
120,Гладиатор,2000,8.5,67,1261479
121,Помни,2000,8.4,80,1062831
122,Реквием по мечте,2000,8.3,68,724096
123,Люди Икс,2000,7.4,64,550049
124,Изгой,2000,7.8,73,489753
125,Американский психопат,2000,7.6,64,451650
126,Неуязвимый,2000,7.3,62,369165
127,Знакомство с родителями,2000,7.0,73,299094
128,О где же ты брат?,2000,7.7,69,271576
129,"Крадущийся тигр, затаившийся дракон",2000,7.8,94,244611
130,Патриот,2000,7.2,63,243724
131,Почти знаменит,2000,7.9,90,240628
132,Сука любовь,2000,8.1,83,212393
133,Траффик,2000,7.6,86,189328
134,Шоколад,2000,7.2,64,171673
135,Побег из курятника,2000,7.0,88,168983
136,Похождения императора,2000,7.3,70,168010
137,Эрин Брокович,2000,7.3,73,164278
138,Королевская битва,2000,7.6,81,162443
139,Фанатик,2000,7.5,79,161395
140,Билли Эллиот,2000,7.7,74,119733
141,Шанхайский полдень,2000,6.5,77,114708
142,Любовное настроение,2000,8.1,85,111632
143,Радиоволна,2000,7.3,67,96891
144,Властелин колец: Братство кольца,2001,8.8,92,1566210
145,Игры разума,2001,8.2,72,798759
146,Корпорация монстров,2001,8.0,79,769232
147,Донни Дарко,2001,8.0,88,713158
148,Амели,2001,8.3,69,671278
149,Гарри Поттер и философский камень,2001,7.6,64,593367
150,Унесённые призраками,2001,8.6,96,585177
151,Шрек,2001,7.8,84,582751
152,Одиннадцать друзей Оушена,2001,7.8,74,487471
153,Тренировочный день,2001,7.7,69,367486
154,Черный Ястреб,2001,7.7,74,348992
155,Другие,2001,7.6,74,321907
156,Малхолланд Драйв,2001,7.9,83,300047
157,Искусственный разум,2001,7.2,65,280457
158,Мулен Руж,2001,7.6,66,257291
159,Семейка Тененбаум,2001,7.6,76,252539
160,Образцовый самец,2001,6.5,61,237043
161,Дневник Бриджет Джонс,2001,6.7,66,213605
162,Шпионские игры,2001,7.1,63,138954
163,Медвежатник,2001,6.8,71,115767
164,И твою маму тоже,2001,7.6,88,109959
165,Призрачный мир,2001,7.3,88,108944
166,Властелин колец: Братство кольца,2001,8.8,92,1566210
167,Игры разума,2001,8.2,72,798759
168,Корпорация монстров,2001,8.0,79,769232
169,Донни Дарко,2001,8.0,88,713158
170,Амели,2001,8.3,69,671278
171,Гарри Поттер и философский камень,2001,7.6,64,593367
172,Унесённые призраками,2001,8.6,96,585177
173,Шрек,2001,7.8,84,582751
174,Одиннадцать друзей Оушена,2001,7.8,74,487471
175,Тренировочный день,2001,7.7,69,367486
176,Черный Ястреб,2001,7.7,74,348992
177,Другие,2001,7.6,74,321907
178,Малхолланд Драйв,2001,7.9,83,300047
179,Искусственный разум,2001,7.2,65,280457
180,Мулен Руж,2001,7.6,66,257291
181,Семейка Тененбаум,2001,7.6,76,252539
182,Образцовый самец,2001,6.5,61,237043
183,Дневник Бриджет Джонс,2001,6.7,66,213605
184,Шпионские игры,2001,7.1,63,138954
185,Медвежатник,2001,6.8,71,115767
186,И твою маму тоже,2001,7.6,88,109959
187,Призрачный мир,2001,7.3,88,108944
188,Властелин колец: Братство кольца,2001,8.8,92,1566210
189,Игры разума,2001,8.2,72,798759
190,Корпорация монстров,2001,8.0,79,769232
191,Донни Дарко,2001,8.0,88,713158
192,Амели,2001,8.3,69,671278
193,Гарри Поттер и философский камень,2001,7.6,64,593367
194,Унесённые призраками,2001,8.6,96,585177
195,Шрек,2001,7.8,84,582751
196,Одиннадцать друзей Оушена,2001,7.8,74,487471
197,Тренировочный день,2001,7.7,69,367486
198,Черный Ястреб,2001,7.7,74,348992
199,Другие,2001,7.6,74,321907
200,Малхолланд Драйв,2001,7.9,83,300047
201,Искусственный разум,2001,7.2,65,280457
202,Мулен Руж,2001,7.6,66,257291
203,Семейка Тененбаум,2001,7.6,76,252539
204,Образцовый самец,2001,6.5,61,237043
205,Дневник Бриджет Джонс,2001,6.7,66,213605
206,Шпионские игры,2001,7.1,63,138954
207,Медвежатник,2001,6.8,71,115767
208,И твою маму тоже,2001,7.6,88,109959
209,Призрачный мир,2001,7.3,88,108944
210,Властелин колец: Братство кольца,2001,8.8,92,1566210
211,Игры разума,2001,8.2,72,798759
212,Корпорация монстров,2001,8.0,79,769232
213,Донни Дарко,2001,8.0,88,713158
214,Амели,2001,8.3,69,671278
215,Гарри Поттер и философский камень,2001,7.6,64,593367
216,Унесённые призраками,2001,8.6,96,585177
217,Шрек,2001,7.8,84,582751
218,Одиннадцать друзей Оушена,2001,7.8,74,487471
219,Тренировочный день,2001,7.7,69,367486
220,Черный Ястреб,2001,7.7,74,348992
221,Другие,2001,7.6,74,321907
222,Малхолланд Драйв,2001,7.9,83,300047
223,Искусственный разум,2001,7.2,65,280457
224,Мулен Руж,2001,7.6,66,257291
225,Семейка Тененбаум,2001,7.6,76,252539
226,Образцовый самец,2001,6.5,61,237043
227,Дневник Бриджет Джонс,2001,6.7,66,213605
228,Шпионские игры,2001,7.1,63,138954
229,Медвежатник,2001,6.8,71,115767
230,И твою маму тоже,2001,7.6,88,109959
231,Призрачный мир,2001,7.3,88,108944
232,Властелин колец: Братство кольца,2001,8.8,92,1566210
233,Игры разума,2001,8.2,72,798759
234,Корпорация монстров,2001,8.0,79,769232
235,Донни Дарко,2001,8.0,88,713158
236,Амели,2001,8.3,69,671278
237,Гарри Поттер и философский камень,2001,7.6,64,593367
238,Унесённые призраками,2001,8.6,96,585177
239,Шрек,2001,7.8,84,582751
240,Одиннадцать друзей Оушена,2001,7.8,74,487471
241,Тренировочный день,2001,7.7,69,367486
242,Черный Ястреб,2001,7.7,74,348992
243,Другие,2001,7.6,74,321907
244,Малхолланд Драйв,2001,7.9,83,300047
245,Искусственный разум,2001,7.2,65,280457
246,Мулен Руж,2001,7.6,66,257291
247,Семейка Тененбаум,2001,7.6,76,252539
248,Образцовый самец,2001,6.5,61,237043
249,Дневник Бриджет Джонс,2001,6.7,66,213605
250,Шпионские игры,2001,7.1,63,138954
251,Медвежатник,2001,6.8,71,115767
252,И твою маму тоже,2001,7.6,88,109959
253,Призрачный мир,2001,7.3,88,108944
254,Властелин колец: Братство кольца,2001,8.8,92,1566210
255,Игры разума,2001,8.2,72,798759
256,Корпорация монстров,2001,8.0,79,769232
257,Донни Дарко,2001,8.0,88,713158
258,Амели,2001,8.3,69,671278
259,Гарри Поттер и философский камень,2001,7.6,64,593367
260,Унесённые призраками,2001,8.6,96,585177
261,Шрек,2001,7.8,84,582751
262,Одиннадцать друзей Оушена,2001,7.8,74,487471
263,Тренировочный день,2001,7.7,69,367486
264,Черный Ястреб,2001,7.7,74,348992
265,Другие,2001,7.6,74,321907
266,Малхолланд Драйв,2001,7.9,83,300047
267,Искусственный разум,2001,7.2,65,280457
268,Мулен Руж,2001,7.6,66,257291
269,Семейка Тененбаум,2001,7.6,76,252539
270,Образцовый самец,2001,6.5,61,237043
271,Дневник Бриджет Джонс,2001,6.7,66,213605
272,Шпионские игры,2001,7.1,63,138954
273,Медвежатник,2001,6.8,71,115767
274,И твою маму тоже,2001,7.6,88,109959
275,Призрачный мир,2001,7.3,88,108944
276,Властелин колец: Две крепости,2002,8.7,87,1403080
277,"Поймай меня, если сможешь",2002,8.1,75,758381
278,Пианист,2002,8.5,85,674667
279,Город Бога,2002,8.6,79,665426
280,Человек-паук,2002,7.3,73,658460
281,Гарри Поттер и тайная комната,2002,7.4,63,513703
282,Идентификация Борна,2002,7.9,68,486228
283,Особое мнение,2002,7.6,80,482818
284,Банды Нью-Йорка,2002,7.5,72,384356
285,28 дней спустя,2002,7.6,73,355298
286,Бессонница,2002,7.2,78,260396
287,Комната страха,2002,6.8,65,244362
288,8 Миля,2002,7.1,77,236252
289,Проклятый путь,2002,7.7,72,234038
290,Чикaго,2002,7.1,82,206581
291,Остин Пауэрс: Голдмембер,2002,6.2,62,188507
292,Адаптация,2002,7.7,83,169016
293,Герой,2002,7.9,85,168992
294,Мой мальчик,2002,7.0,75,165661
295,25-й час,2002,7.6,67,164876
296,Лило и Стич,2002,7.2,73,156929
297,"Любовь, сбивающая с ног",2002,7.3,78,138133
298,Боулинг для Колумбины,2002,7.9,72,136650
299,Мы были солдатами,2002,7.1,65,124519
300,Граф Монте-Кристо,2002,7.8,61,123449
301,Чaсы,2002,7.5,80,119428
302,О Шмидте,2002,7.1,85,119169
303,Моя большая греческая свадьба,2002,6.5,62,115699
304,Двойная рокировка,2002,8.0,75,114057
305,Властелин колец: Две крепости,2002,8.7,87,1403080
306,"Поймай меня, если сможешь",2002,8.1,75,758381
307,Пианист,2002,8.5,85,674667
308,Город Бога,2002,8.6,79,665426
309,Человек-паук,2002,7.3,73,658460
310,Гарри Поттер и тайная комната,2002,7.4,63,513703
311,Идентификация Борна,2002,7.9,68,486228
312,Особое мнение,2002,7.6,80,482818
313,Банды Нью-Йорка,2002,7.5,72,384356
314,28 дней спустя,2002,7.6,73,355298
315,Бессонница,2002,7.2,78,260396
316,Комната страха,2002,6.8,65,244362
317,8 Миля,2002,7.1,77,236252
318,Проклятый путь,2002,7.7,72,234038
319,Чикaго,2002,7.1,82,206581
320,Остин Пауэрс: Голдмембер,2002,6.2,62,188507
321,Адаптация,2002,7.7,83,169016
322,Герой,2002,7.9,85,168992
323,Мой мальчик,2002,7.0,75,165661
324,25-й час,2002,7.6,67,164876
325,Лило и Стич,2002,7.2,73,156929
326,"Любовь, сбивающая с ног",2002,7.3,78,138133
327,Боулинг для Колумбины,2002,7.9,72,136650
328,Мы были солдатами,2002,7.1,65,124519
329,Граф Монте-Кристо,2002,7.8,61,123449
330,Чaсы,2002,7.5,80,119428
331,О Шмидте,2002,7.1,85,119169
332,Моя большая греческая свадьба,2002,6.5,62,115699
333,Двойная рокировка,2002,8.0,75,114057
334,Властелин колец: Две крепости,2002,8.7,87,1403080
335,"Поймай меня, если сможешь",2002,8.1,75,758381
336,Пианист,2002,8.5,85,674667
337,Город Бога,2002,8.6,79,665426
338,Человек-паук,2002,7.3,73,658460
339,Гарри Поттер и тайная комната,2002,7.4,63,513703
340,Идентификация Борна,2002,7.9,68,486228
341,Особое мнение,2002,7.6,80,482818
342,Банды Нью-Йорка,2002,7.5,72,384356
343,28 дней спустя,2002,7.6,73,355298
344,Бессонница,2002,7.2,78,260396
345,Комната страха,2002,6.8,65,244362
346,8 Миля,2002,7.1,77,236252
347,Проклятый путь,2002,7.7,72,234038
348,Чикaго,2002,7.1,82,206581
349,Остин Пауэрс: Голдмембер,2002,6.2,62,188507
350,Адаптация,2002,7.7,83,169016
351,Герой,2002,7.9,85,168992
352,Мой мальчик,2002,7.0,75,165661
353,25-й час,2002,7.6,67,164876
354,Лило и Стич,2002,7.2,73,156929
355,"Любовь, сбивающая с ног",2002,7.3,78,138133
356,Боулинг для Колумбины,2002,7.9,72,136650
357,Мы были солдатами,2002,7.1,65,124519
358,Граф Монте-Кристо,2002,7.8,61,123449
359,Чaсы,2002,7.5,80,119428
360,О Шмидте,2002,7.1,85,119169
361,Моя большая греческая свадьба,2002,6.5,62,115699
362,Двойная рокировка,2002,8.0,75,114057
363,Властелин колец: Две крепости,2002,8.7,87,1403080
364,"Поймай меня, если сможешь",2002,8.1,75,758381
365,Пианист,2002,8.5,85,674667
366,Город Бога,2002,8.6,79,665426
367,Человек-паук,2002,7.3,73,658460
368,Гарри Поттер и тайная комната,2002,7.4,63,513703
369,Идентификация Борна,2002,7.9,68,486228
370,Особое мнение,2002,7.6,80,482818
371,Банды Нью-Йорка,2002,7.5,72,384356
372,28 дней спустя,2002,7.6,73,355298
373,Бессонница,2002,7.2,78,260396
374,Комната страха,2002,6.8,65,244362
375,8 Миля,2002,7.1,77,236252
376,Проклятый путь,2002,7.7,72,234038
377,Чикaго,2002,7.1,82,206581
378,Остин Пауэрс: Голдмембер,2002,6.2,62,188507
379,Адаптация,2002,7.7,83,169016
380,Герой,2002,7.9,85,168992
381,Мой мальчик,2002,7.0,75,165661
382,25-й час,2002,7.6,67,164876
383,Лило и Стич,2002,7.2,73,156929
384,"Любовь, сбивающая с ног",2002,7.3,78,138133
385,Боулинг для Колумбины,2002,7.9,72,136650
386,Мы были солдатами,2002,7.1,65,124519
387,Граф Монте-Кристо,2002,7.8,61,123449
388,Чaсы,2002,7.5,80,119428
389,О Шмидте,2002,7.1,85,119169
390,Моя большая греческая свадьба,2002,6.5,62,115699
391,Двойная рокировка,2002,8.0,75,114057
392,Властелин колец: Две крепости,2002,8.7,87,1403080
393,"Поймай меня, если сможешь",2002,8.1,75,758381
394,Пианист,2002,8.5,85,674667
395,Город Бога,2002,8.6,79,665426
396,Человек-паук,2002,7.3,73,658460
397,Гарри Поттер и тайная комната,2002,7.4,63,513703
398,Идентификация Борна,2002,7.9,68,486228
399,Особое мнение,2002,7.6,80,482818
400,Банды Нью-Йорка,2002,7.5,72,384356
401,28 дней спустя,2002,7.6,73,355298
402,Бессонница,2002,7.2,78,260396
403,Комната страха,2002,6.8,65,244362
404,8 Миля,2002,7.1,77,236252
405,Проклятый путь,2002,7.7,72,234038
406,Чикaго,2002,7.1,82,206581
407,Остин Пауэрс: Голдмембер,2002,6.2,62,188507
408,Адаптация,2002,7.7,83,169016
409,Герой,2002,7.9,85,168992
410,Мой мальчик,2002,7.0,75,165661
411,25-й час,2002,7.6,67,164876
412,Лило и Стич,2002,7.2,73,156929
413,"Любовь, сбивающая с ног",2002,7.3,78,138133
414,Боулинг для Колумбины,2002,7.9,72,136650
415,Мы были солдатами,2002,7.1,65,124519
416,Граф Монте-Кристо,2002,7.8,61,123449
417,Чaсы,2002,7.5,80,119428
418,О Шмидте,2002,7.1,85,119169
419,Моя большая греческая свадьба,2002,6.5,62,115699
420,Двойная рокировка,2002,8.0,75,114057
421,Властелин колец: Две крепости,2002,8.7,87,1403080
422,"Поймай меня, если сможешь",2002,8.1,75,758381
423,Пианист,2002,8.5,85,674667
424,Город Бога,2002,8.6,79,665426
425,Человек-паук,2002,7.3,73,658460
426,Гарри Поттер и тайная комната,2002,7.4,63,513703
427,Идентификация Борна,2002,7.9,68,486228
428,Особое мнение,2002,7.6,80,482818
429,Банды Нью-Йорка,2002,7.5,72,384356
430,28 дней спустя,2002,7.6,73,355298
431,Бессонница,2002,7.2,78,260396
432,Комната страха,2002,6.8,65,244362
433,8 Миля,2002,7.1,77,236252
434,Проклятый путь,2002,7.7,72,234038
435,Чикaго,2002,7.1,82,206581
436,Остин Пауэрс: Голдмембер,2002,6.2,62,188507
437,Адаптация,2002,7.7,83,169016
438,Герой,2002,7.9,85,168992
439,Мой мальчик,2002,7.0,75,165661
440,25-й час,2002,7.6,67,164876
441,Лило и Стич,2002,7.2,73,156929
442,"Любовь, сбивающая с ног",2002,7.3,78,138133
443,Боулинг для Колумбины,2002,7.9,72,136650
444,Мы были солдатами,2002,7.1,65,124519
445,Граф Монте-Кристо,2002,7.8,61,123449
446,Чaсы,2002,7.5,80,119428
447,О Шмидте,2002,7.1,85,119169
448,Моя большая греческая свадьба,2002,6.5,62,115699
449,Двойная рокировка,2002,8.0,75,114057
450,Властелин колец: Возвращение короля,2003,8.9,94,1554310
451,Пираты Карибского моря: Проклятие Чёрной жемчужины,2003,8.0,63,982785
452,Убить Билла,2003,8.1,69,943226
453,В поисках Немо,2003,8.1,90,899505
454,Люди Икс 2,2003,7.4,68,493573
455,Матрица: Перезагрузка,2003,7.2,62,492235
456,Олдбой,2003,8.4,77,478840
457,Таинственная река,2003,7.9,84,398921
458,Трудности перевода,2003,7.7,89,387130
459,Терминатор 3: Восстание машин,2003,6.3,66,362965
460,Ограбление по-итальянски,2003,7.0,68,329323
461,Школа рока,2003,7.1,82,253348
462,21 грaмм,2003,7.7,70,216767
463,Идентификация,2003,7.3,64,215425
464,Эльф,2003,6.9,64,206667
465,Хозяин морей: На краю Земли,2003,7.4,81,193468
466,Холодная гора,2003,7.2,73,134852
467,"Гудбай, Ленин!",2003,7.7,68,132093
468,Плохой Санта,2003,7.0,70,130249
469,Монстр,2003,7.3,74,128539
470,Великолепная афера,2003,7.3,61,119866
471,Чyмовая пятница,2003,6.1,70,118580
472,Властелин колец: Возвращение короля,2003,8.9,94,1554310
473,Пираты Карибского моря: Проклятие Чёрной жемчужины,2003,8.0,63,982785
474,Убить Билла,2003,8.1,69,943226
475,В поисках Немо,2003,8.1,90,899505
476,Люди Икс 2,2003,7.4,68,493573
477,Матрица: Перезагрузка,2003,7.2,62,492235
478,Олдбой,2003,8.4,77,478840
479,Таинственная река,2003,7.9,84,398921
480,Трудности перевода,2003,7.7,89,387130
481,Терминатор 3: Восстание машин,2003,6.3,66,362965
482,Ограбление по-итальянски,2003,7.0,68,329323
483,Школа рока,2003,7.1,82,253348
484,21 грaмм,2003,7.7,70,216767
485,Идентификация,2003,7.3,64,215425
486,Эльф,2003,6.9,64,206667
487,Хозяин морей: На краю Земли,2003,7.4,81,193468
488,Холодная гора,2003,7.2,73,134852
489,"Гудбай, Ленин!",2003,7.7,68,132093
490,Плохой Санта,2003,7.0,70,130249
491,Монстр,2003,7.3,74,128539
492,Великолепная афера,2003,7.3,61,119866
493,Чyмовая пятница,2003,6.1,70,118580
494,Властелин колец: Возвращение короля,2003,8.9,94,1554310
495,Пираты Карибского моря: Проклятие Чёрной жемчужины,2003,8.0,63,982785
496,Убить Билла,2003,8.1,69,943226
497,В поисках Немо,2003,8.1,90,899505
498,Люди Икс 2,2003,7.4,68,493573
499,Матрица: Перезагрузка,2003,7.2,62,492235
500,Олдбой,2003,8.4,77,478840
501,Таинственная река,2003,7.9,84,398921
502,Трудности перевода,2003,7.7,89,387130
503,Терминатор 3: Восстание машин,2003,6.3,66,362965
504,Ограбление по-итальянски,2003,7.0,68,329323
505,Школа рока,2003,7.1,82,253348
506,21 грaмм,2003,7.7,70,216767
507,Идентификация,2003,7.3,64,215425
508,Эльф,2003,6.9,64,206667
509,Хозяин морей: На краю Земли,2003,7.4,81,193468
510,Холодная гора,2003,7.2,73,134852
511,"Гудбай, Ленин!",2003,7.7,68,132093
512,Плохой Санта,2003,7.0,70,130249
513,Монстр,2003,7.3,74,128539
514,Великолепная афера,2003,7.3,61,119866
515,Чyмовая пятница,2003,6.1,70,118580
516,Властелин колец: Возвращение короля,2003,8.9,94,1554310
517,Пираты Карибского моря: Проклятие Чёрной жемчужины,2003,8.0,63,982785
518,Убить Билла,2003,8.1,69,943226
519,В поисках Немо,2003,8.1,90,899505
520,Люди Икс 2,2003,7.4,68,493573
521,Матрица: Перезагрузка,2003,7.2,62,492235
522,Олдбой,2003,8.4,77,478840
523,Таинственная река,2003,7.9,84,398921
524,Трудности перевода,2003,7.7,89,387130
525,Терминатор 3: Восстание машин,2003,6.3,66,362965
526,Ограбление по-итальянски,2003,7.0,68,329323
527,Школа рока,2003,7.1,82,253348
528,21 грaмм,2003,7.7,70,216767
529,Идентификация,2003,7.3,64,215425
530,Эльф,2003,6.9,64,206667
531,Хозяин морей: На краю Земли,2003,7.4,81,193468
532,Холодная гора,2003,7.2,73,134852
533,"Гудбай, Ленин!",2003,7.7,68,132093
534,Плохой Санта,2003,7.0,70,130249
535,Монстр,2003,7.3,74,128539
536,Великолепная афера,2003,7.3,61,119866
537,Чyмовая пятница,2003,6.1,70,118580
538,Властелин колец: Возвращение короля,2003,8.9,94,1554310
539,Пираты Карибского моря: Проклятие Чёрной жемчужины,2003,8.0,63,982785
540,Убить Билла,2003,8.1,69,943226
541,В поисках Немо,2003,8.1,90,899505
542,Люди Икс 2,2003,7.4,68,493573
543,Матрица: Перезагрузка,2003,7.2,62,492235
544,Олдбой,2003,8.4,77,478840
545,Таинственная река,2003,7.9,84,398921
546,Трудности перевода,2003,7.7,89,387130
547,Терминатор 3: Восстание машин,2003,6.3,66,362965
548,Ограбление по-итальянски,2003,7.0,68,329323
549,Школа рока,2003,7.1,82,253348
550,21 грaмм,2003,7.7,70,216767
551,Идентификация,2003,7.3,64,215425
552,Эльф,2003,6.9,64,206667
553,Хозяин морей: На краю Земли,2003,7.4,81,193468
554,Холодная гора,2003,7.2,73,134852
555,"Гудбай, Ленин!",2003,7.7,68,132093
556,Плохой Санта,2003,7.0,70,130249
557,Монстр,2003,7.3,74,128539
558,Великолепная афера,2003,7.3,61,119866
559,Чyмовая пятница,2003,6.1,70,118580
560,Властелин колец: Возвращение короля,2003,8.9,94,1554310
561,Пираты Карибского моря: Проклятие Чёрной жемчужины,2003,8.0,63,982785
562,Убить Билла,2003,8.1,69,943226
563,В поисках Немо,2003,8.1,90,899505
564,Люди Икс 2,2003,7.4,68,493573
565,Матрица: Перезагрузка,2003,7.2,62,492235
566,Олдбой,2003,8.4,77,478840
567,Таинственная река,2003,7.9,84,398921
568,Трудности перевода,2003,7.7,89,387130
569,Терминатор 3: Восстание машин,2003,6.3,66,362965
570,Ограбление по-итальянски,2003,7.0,68,329323
571,Школа рока,2003,7.1,82,253348
572,21 грaмм,2003,7.7,70,216767
573,Идентификация,2003,7.3,64,215425
574,Эльф,2003,6.9,64,206667
575,Хозяин морей: На краю Земли,2003,7.4,81,193468
576,Холодная гора,2003,7.2,73,134852
577,"Гудбай, Ленин!",2003,7.7,68,132093
578,Плохой Санта,2003,7.0,70,130249
579,Монстр,2003,7.3,74,128539
580,Великолепная афера,2003,7.3,61,119866
581,Чyмовая пятница,2003,6.1,70,118580
582,Вечное сияние чистого разума,2004,8.3,89,853886
583,Убить Билла 2,2004,8.0,83,644320
584,Суперсемейка,2004,8.0,90,624767
585,Малышка на миллион,2004,8.1,86,603689
586,Человек-паук 2,2004,7.3,83,517377
587,Гарри Поттер и узник Азкабана,2004,7.9,82,510554
588,Зомби по имени Шон,2004,7.9,76,486136
589,Превосходство Борна,2004,7.7,73,416664
590,Столкновение,2004,7.8,69,407307
591,Шрек 2,2004,7.2,75,397120
592,Соучастник,2004,7.5,71,343101
593,Машинист,2004,7.7,61,339647
594,Отель 'Руанда',2004,8.1,79,321007
595,Авиатор,2004,7.5,77,317458
596,Телеведущий: Легенда о Роне Бургунди,2004,7.2,63,316445
597,Бункер,2004,8.2,82,314878
598,Дрянные девчонки,2004,7.0,66,312444
599,Хеллбой: Герой из пекла,2004,6.8,72,297422
600,Ходячий замок,2004,8.2,80,295710
601,Перед закатом,2004,8.0,90,217266
602,Страна садов,2004,7.4,67,203115
603,Близость,2004,7.2,65,194851
604,Волшебная страна,2004,7.7,67,193406
605,Наполеон Динамит,2004,6.9,64,189681
606,Лемони Сникет: 33 несчастья,2004,6.8,62,188634
607,Гарольд и Кумар уходят в отрыв,2004,7.1,64,175752
